International Financial Statistics (IFS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","390,920.60","387,968.30","395,096.50","396,363.80","399,955.00","402,020.30","404,505.00","410,163.20","414,162.70","418,877.60","420,034.70","424,141.80","419,536.80","421,584.90","425,370.00","424,531.10","424,388.60","424,346.50","425,789.50","424,384.30","426,658.60","422,690.60","424,142.40","432,044.10","434,124.90","436,709.60","437,738.60","442,470.00","440,863.90","449,544.10","450,044.60","451,506.00","457,179.90","470,814.90","467,675.40","466,407.90","467,953.10","465,857.20","470,234.00","474,964.50","474,767.10","470,386.50","467,638.80","456,595.60","450,096.20","441,371.80","442,897.90","443,299.80","447,128.00","450,184.20","457,321.30","456,292.10","457,286.10","461,869.60","456,125.30","459,852.70","459,533.30","459,879.10","460,310.90","459,566.90","462,158.10","462,501.40","465,430.80","466,366.80","467,547.90","467,209.20","475,029.70","476,733.60","479,997.70","482,243.00","483,697.70","484,775.50","490,360.40","496,993.20","501,209.60","504,820.80","508,124.30","513,804.00","511,919.50","515,784.30","518,425.40","521,031.00","524,168.30","526,785.70","525,636.50","530,920.00","533,348.00","531,725.80","529,455.40","497,069.20","525,429.20","527,358.60","530,984.80","541,808.00","545,543.00","561,941.80","557,995.60","565,519.00","565,488.90","570,321.30",
Ecuador,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",,,,,,,,,"9,134.59","9,320.41","9,548.49","9,722.92","9,699.36","9,802.41","9,809.48","9,930.10","10,063.57","10,205.82","10,274.21","10,305.40","10,440.09","10,240.79","10,464.38","10,816.00","11,091.41","11,282.55","11,403.29","11,629.46","11,771.81","11,936.39","11,951.92","12,149.19","12,278.12","12,447.03","12,593.00","12,596.48","12,548.69","12,641.37","12,821.50","12,996.22","13,203.59","13,437.96","13,689.24","13,919.63","13,721.20","13,663.73","13,579.51","13,593.30","13,729.82","13,946.26","14,175.89","14,629.09","14,790.36","15,176.74","15,409.10","15,548.86","15,798.59","16,072.84","16,196.96","16,294.04","16,458.71","16,802.24","17,131.62","17,153.56","17,096.08","17,494.06","17,736.02","17,779.20","17,816.05","17,537.77","17,492.23","17,328.63","17,204.63","17,328.10","17,310.91","17,470.43","17,497.94","17,685.97","17,819.41","17,952.38","17,762.56","17,943.19","18,080.83","18,083.93","17,970.65","18,009.17","18,075.35","17,824.05","17,647.25","15,504.94","16,454.34","16,675.02","16,929.41","17,298.70","17,367.30","17,493.34","17,604.24","17,626.40","17,920.55",,
El Salvador,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.16,83.99,83.53,83.41,85.68,85.61,86.74,88.49,85.39,87.12,89.40,91.05,90.29,90.48,90.45,89.25,88.07,88.65,88.28,87.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro Area,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","1,971,616.48","1,980,272.34","1,992,227.68","1,994,693.24","2,016,830.10","2,025,941.64","2,048,920.57","2,072,546.33","2,098,295.60","2,117,550.15","2,129,362.22","2,143,909.49","2,165,296.30","2,167,192.92","2,168,981.35","2,171,237.12","2,174,267.04","2,185,542.95","2,193,429.03","2,198,723.26","2,191,718.27","2,193,684.66","2,205,017.93","2,221,283.98","2,232,528.10","2,246,218.10","2,251,272.48","2,260,212.09","2,264,911.08","2,278,850.21","2,295,548.75","2,310,219.29","2,330,389.96","2,356,122.32","2,370,127.61","2,397,943.87","2,412,332.98","2,429,752.03","2,440,718.93","2,453,144.23","2,465,827.05","2,457,504.47","2,444,516.64","2,400,002.71","2,325,756.28","2,325,179.59","2,334,538.45","2,344,416.64","2,354,777.18","2,377,613.46","2,387,550.38","2,401,656.58","2,423,501.62","2,422,956.85","2,426,659.19","2,416,382.66","2,411,188.25","2,404,825.52","2,402,442.98","2,391,754.53","2,383,804.17","2,396,074.45","2,403,355.71","2,410,274.45","2,420,256.68","2,424,976.48","2,436,953.89","2,445,625.89","2,461,221.50","2,472,560.13","2,482,866.32","2,494,339.66","2,508,203.87","2,514,069.05","2,526,057.94","2,545,183.51","2,562,565.84","2,582,778.14","2,602,821.55","2,623,881.79","2,623,789.68","2,637,941.15","2,638,170.71","2,655,228.90","2,671,907.82","2,680,289.41","2,685,849.73","2,686,273.13","2,595,912.68","2,298,678.56","2,582,590.98","2,575,815.71","2,574,216.22","2,625,345.62","2,684,432.65","2,698,799.88","2,715,298.36","2,736,887.95","2,745,602.55",,
Finland,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","34,928.99","35,633.91","36,081.52","36,401.37","37,001.76","37,198.32","37,396.66","37,715.62","38,840.46","39,139.76","39,752.66","40,175.26","40,371.81","40,420.06","40,675.58","40,561.22","40,826.57","41,230.41","41,133.92","41,602.08","41,308.14","41,902.27","42,403.49","42,481.22","43,023.54","43,393.42","43,864.27","44,524.52","44,964.98","44,427.13","45,070.41","45,199.96","46,327.48","46,440.94","46,882.30","47,250.40","48,163.49","49,029.24","49,479.53","50,132.63","50,070.98","49,668.94","49,840.48","48,771.03","45,611.83","45,412.60","45,832.51","45,478.71","45,934.36","47,203.05","47,009.17","47,996.42","48,264.45","48,180.47","48,239.44","48,252.84","48,041.99","47,533.62","47,350.46","47,313.83","46,908.21","47,124.42","47,288.82","47,203.94","46,839.42","46,915.36","47,096.73","46,984.15","46,618.74","47,328.13","47,323.66","47,589.01","48,176.00","48,251.05","48,796.05","48,946.15","49,445.58","50,075.45","50,262.18","50,587.39","50,743.74","50,670.48","50,614.20","50,624.02","50,977.82","51,412.04","51,418.29","51,324.48","51,203.86","47,995.53","50,345.27","50,755.36","50,698.18","51,427.22","51,896.28","52,382.31","52,493.10","52,823.67","52,748.62","52,443.96",
France,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","405,418.04","408,677.23","411,690.15","414,403.09","418,823.39","419,985.47","424,655.91","430,713.54","435,173.94","439,678.10","442,723.59","446,344.12","448,541.42","449,124.39","450,343.57","450,050.25","452,588.89","454,442.53","455,552.44","456,598.87","457,028.03","456,095.99","459,158.96","462,261.54","466,755.85","469,496.42","470,765.74","474,311.20","475,380.63","476,704.34","479,340.95","482,539.95","486,233.42","491,293.51","491,700.74","495,254.32","498,843.25","502,249.88","504,616.55","505,565.69","507,996.89","505,231.60","504,400.71","496,781.21","488,301.75","488,238.85","489,133.21","492,588.05","494,261.51","496,677.93","499,850.56","503,156.61","508,362.19","507,888.69","510,458.34","511,339.46","511,455.31","510,718.04","511,949.97","511,310.48","511,680.71","515,097.28","514,670.92","517,989.34","518,020.93","518,525.94","521,498.76","521,261.48","523,977.31","524,604.44","525,807.67","526,844.35","530,091.65","528,520.03","530,075.81","533,182.35","537,084.51","541,424.43","546,027.24","549,308.17","549,666.03","552,128.93","554,222.18","557,478.67","561,168.66","565,084.16","565,199.51","563,750.20","532,280.26","460,027.62","544,781.50","539,801.79","540,109.90","545,867.83","564,121.88","567,390.83","566,103.05","568,945.35","569,903.58","570,331.67",
Germany,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","562,015.13","559,575.51","562,224.20","559,924.03","566,389.09","566,389.12","572,731.91","577,401.87","585,661.76","590,401.72","590,122.90","588,380.24","600,282.03","600,003.23","598,748.57","598,260.63","595,193.71","597,772.70","600,560.85","599,794.14","590,924.52","591,551.82","596,082.38","597,755.20","596,709.80","599,776.65","598,522.07","597,964.42","597,981.86","601,188.18","606,276.49","609,134.32","614,989.39","625,584.23","630,463.43","640,012.76","640,413.70","645,780.70","649,126.36","653,308.44","657,490.62","655,887.51","651,705.42","641,319.92","611,277.82","612,253.61","615,668.97","620,199.54","625,235.72","639,315.67","644,543.44","649,771.17","662,370.04","662,997.35","668,852.28","666,691.55","668,085.67","669,479.62","671,361.60","668,364.45","665,314.95","672,424.61","676,188.56","678,140.29","684,744.70","684,744.70","688,229.73","693,805.87","690,251.34","695,339.50","698,476.05","701,542.92","707,432.85","710,569.56","712,381.86","714,960.95","723,569.40","729,703.10","735,070.15","741,761.48","737,457.49","742,685.22","736,830.15","742,685.26","748,000.12","746,745.39","747,581.87","749,533.61","738,869.51","668,816.30","729,041.17","733,571.95","722,802.76","736,743.05","742,528.23","742,319.17","748,244.10","749,010.81","752,565.58","749,289.58",
Greece,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","45,772.70","45,975.16","46,135.69","46,499.24","46,853.71","47,290.96","47,471.98","48,231.03","48,414.14","48,860.52","49,773.43","50,479.68","51,104.56","50,969.86","51,796.39","51,933.60","52,357.92","53,529.85","53,838.75","54,253.85","55,383.39","56,364.33","56,717.91","57,930.08","58,989.36","58,978.40","59,765.44","59,537.53","59,187.40","59,328.15","60,153.32","60,454.69","62,424.44","62,616.12","62,915.07","64,514.96","64,008.33","65,872.08","65,461.62","65,137.01","65,535.39","65,116.14","65,052.66","64,143.86","61,098.45","62,795.06","62,339.52","62,419.45","58,882.78","56,732.43","54,860.30","54,444.56","52,327.22","51,394.88","50,357.06","48,112.81","47,968.89","47,139.85","46,434.46","46,017.61","45,633.07","45,639.25","45,690.22","45,977.10","45,903.63","45,866.42","46,349.92","45,886.11","46,147.74","46,095.77","45,193.29","45,983.52","45,583.33","45,433.64","45,610.07","45,916.24","45,814.84","46,054.99","46,521.17","46,085.83","46,655.93","46,818.46","46,767.48","47,071.86","47,455.93","47,947.79","47,756.97","47,627.62","46,703.22","40,466.19","42,625.67","44,378.11","45,736.82","46,341.86","48,003.57","48,280.69","49,332.79","49,622.52","49,355.06",,
Honduras,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",,,,,,,,,"26,321.90","26,486.40","26,847.10","26,998.80","27,221.50","27,340.80","27,197.80","27,798.90","27,612.40","28,394.60","29,017.80","28,647.00","29,101.60","29,391.70","29,748.30","30,598.90","31,075.70","31,578.80","31,346.60","32,246.00","32,633.00","33,385.50","33,712.90","34,154.70","34,971.70","35,141.90","35,741.60","36,823.20","37,219.80","37,922.60","38,062.50","38,302.80","39,343.00","40,318.20","39,505.60","38,752.40","38,361.40","38,483.40","38,249.00","38,985.50","39,385.00","39,932.20","39,783.90","40,726.60","41,048.20","40,978.30","42,036.30","41,895.50","42,875.50","43,087.30","43,426.00","43,421.50","43,753.70","44,519.30","44,588.20","44,773.10","45,382.30","45,954.40","45,830.10","45,899.80","46,916.30","47,156.30","47,688.30","48,335.50","48,492.30","49,299.60","49,225.70","50,479.20","51,194.40","51,396.20","52,106.90","52,363.90","52,825.00","53,711.10","53,845.40","54,641.50","54,606.30","54,612.10","55,440.20","56,069.10","53,517.70","44,626.90","50,948.60","51,846.60","54,768.20","56,048.00","57,538.40","57,771.30","58,182.20","58,515.50","59,030.50",,
Hungary,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","5,090,061.74","5,167,654.65","5,214,719.11","5,216,751.38","5,219,864.68","5,273,618.30","5,373,067.01","5,432,648.26","5,478,333.78","5,538,044.83","5,586,854.10","5,694,276.83","5,732,859.43","5,778,639.90","5,831,067.71","5,874,175.65","6,009,164.23","6,040,392.16","6,095,741.63","6,170,736.06","6,217,679.44","6,282,667.59","6,357,556.61","6,422,442.84","6,521,991.73","6,598,301.51","6,678,285.58","6,702,590.04","6,771,066.06","6,900,533.63","6,951,907.41","7,030,844.42","7,086,781.87","7,187,340.36","7,226,172.97","7,296,695.19","7,204,701.32","7,195,832.68","7,233,046.79","7,256,068.13","7,321,615.51","7,365,648.57","7,350,617.80","7,093,665.27","6,801,084.91","6,804,546.65","6,803,190.35","6,800,381.94","6,803,352.37","6,857,386.48","6,913,565.23","6,910,789.92","6,974,589.01","6,968,909.47","6,984,499.48","7,073,308.62","6,948,193.92","6,903,324.62","6,927,359.91","6,918,212.53","6,931,414.86","6,998,889.12","7,107,974.77","7,170,615.31","7,225,898.57","7,321,733.98","7,391,460.89","7,433,116.72","7,556,043.23","7,564,915.34","7,622,198.64","7,700,680.94","7,661,206.34","7,760,846.70","7,802,423.25","7,871,659.74","7,980,612.99","8,077,779.43","8,152,853.13","8,272,288.28","8,416,357.17","8,491,212.22","8,621,391.48","8,710,107.41","8,877,656.70","8,906,941.22","9,032,151.74","9,084,772.93","9,027,669.08","7,730,980.29","8,648,590.59","8,786,543.51","8,878,684.60","9,081,404.40","9,220,898.29","9,444,576.67","9,577,882.29","9,637,828.53","9,566,252.29","9,524,184.43",
India,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","8,527,800.00","8,639,500.00","8,796,300.00","8,911,600.00","9,056,400.00","9,290,200.00","9,405,900.00","9,561,200.00","9,761,900.00","9,775,100.00","9,904,900.00","9,909,000.00","9,962,600.00","10,169,900.00","10,295,700.00","10,532,100.00","10,617,100.00","10,683,300.00","10,746,800.00","10,755,200.00","10,997,300.00","11,275,900.00","11,572,600.00","11,952,600.00","11,996,200.00","12,281,500.00","12,575,900.00","12,819,500.00","13,043,900.00","13,457,000.00","13,644,300.00","13,989,200.00","14,339,700.00","14,545,700.00","15,026,100.00","15,283,200.00","15,710,200.00","16,106,100.00","16,395,100.00","16,948,700.00","17,051,400.00","17,229,400.00","17,379,400.00","17,400,700.00","17,079,400.00","18,070,700.00","18,532,200.00","18,926,300.00","19,418,400.00","19,885,000.00","20,472,700.00","20,947,900.00","21,331,400.00","21,589,900.00","21,589,000.00","21,940,700.00","22,243,700.00","22,501,200.00","22,904,900.00","23,176,800.00","23,547,300.00","23,877,900.00","24,260,200.00","24,794,200.00","25,081,500.00","25,655,800.00","26,124,200.00","26,525,000.00","26,971,700.00","27,549,400.00","28,058,000.00","28,628,300.00","29,459,200.00","29,983,900.00","30,671,000.00","31,089,300.00","31,337,900.00","31,983,000.00","32,510,100.00","33,120,900.00","33,831,900.00","34,274,900.00","34,754,400.00","35,268,000.00","35,631,800.00","36,146,400.00","36,350,000.00","36,405,500.00","36,444,400.00","28,221,500.00","34,596,500.00","36,776,500.00","37,276,700.00","34,452,000.00","37,678,000.00","38,408,900.00","38,719,400.00","39,097,400.00","39,748,300.00","40,023,200.00",
Indonesia,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",,,,,,,,,"1,012,908,500.00","1,007,085,100.00","1,031,621,800.00","1,061,287,200.00","1,053,724,500.00","1,064,503,000.00","1,064,723,800.00","1,079,803,500.00","1,092,967,400.00","1,107,016,700.00","1,121,225,600.00","1,133,346,900.00","1,148,138,300.00","1,161,156,600.00","1,173,320,800.00","1,184,885,000.00","1,198,807,300.00","1,213,143,900.00","1,227,905,800.00","1,262,459,900.00","1,272,698,700.00","1,287,273,700.00","1,301,458,200.00","1,319,954,100.00","1,337,393,600.00","1,354,469,300.00","1,376,301,900.00","1,398,245,400.00","1,420,985,900.00","1,444,669,500.00","1,467,445,700.00","1,480,154,000.00","1,512,683,700.00","1,535,344,400.00","1,556,279,500.00","1,558,539,400.00","1,579,727,000.00","1,599,830,300.00","1,624,632,400.00","1,648,420,100.00","1,675,325,200.00","1,703,323,300.00","1,728,883,700.00","1,756,600,900.00","1,782,068,600.00","1,807,989,300.00","1,835,359,200.00","1,862,218,300.00","1,890,404,800.00","1,918,628,200.00","1,945,557,300.00","1,972,493,200.00","2,000,036,700.00","2,025,699,100.00","2,052,332,600.00","2,078,429,400.00","2,102,999,400.00","2,129,184,000.00","2,154,005,100.00","2,178,678,000.00","2,205,384,400.00","2,230,911,500.00","2,258,571,300.00","2,287,649,900.00","2,315,193,400.00","2,344,427,400.00","2,373,202,600.00","2,401,790,000.00","2,431,918,700.00","2,462,326,100.00","2,493,378,900.00","2,525,304,400.00","2,557,708,600.00","2,589,775,300.00","2,622,595,600.00","2,655,772,500.00","2,688,614,900.00","2,722,041,000.00","2,754,557,800.00","2,783,941,700.00","2,765,701,700.00","2,573,625,100.00","2,659,843,900.00","2,723,828,600.00","2,751,079,100.00","2,757,513,900.00","2,760,520,300.00","2,850,964,700.00","2,881,679,800.00","2,908,207,000.00","2,928,593,000.00","2,991,918,000.00",
Ireland,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","25,477.16","26,137.18","27,106.71","26,459.75","27,951.97","28,271.12","29,410.63","30,096.59","30,382.26","31,180.21","31,854.13","32,196.97","32,701.61","33,079.47","32,909.92","33,540.15","34,192.81","34,354.16","35,023.88","35,576.94","35,482.93","35,706.78","35,667.97","37,923.69","37,711.75","38,517.77","38,105.04","39,464.91","40,043.17","40,995.72","40,217.63","41,802.99","42,619.29","42,690.90","42,950.49","43,350.30","45,737.84","45,225.64","44,031.26","45,678.58","44,530.22","43,800.23","43,257.07","41,272.42","41,320.83","41,333.93","40,872.22","39,435.14","41,147.17","41,427.25","41,473.00","40,733.39","42,101.90","42,597.18","41,992.56","41,926.17","41,919.84","42,458.98","42,035.56","42,054.18","41,716.78","42,412.47","43,735.66","43,229.72","44,875.42","46,265.12","47,076.22","46,962.25","56,835.96","55,359.59","57,317.43","57,962.19","55,907.62","56,670.03","56,899.92","63,131.39","60,427.34","61,488.16","64,726.93","68,049.36","67,887.88","69,364.93","69,602.08","70,310.81","71,420.79","72,591.30","73,896.39","74,835.04","76,839.75","72,545.55","81,889.58","77,991.88","85,110.57","86,738.92","90,009.65","88,872.88","95,261.43","97,434.38","100,206.02","100,511.20",
Israel,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","157,889.20","157,906.00","159,379.60","160,487.30","159,217.30","165,706.00","166,239.80","169,127.80","172,827.80","178,141.20","183,604.80","183,559.30","181,380.70","180,772.10","178,888.90","178,145.40","178,643.70","179,621.30","179,708.00","179,329.20","181,352.20","180,989.90","182,643.70","183,409.20","187,612.80","188,982.00","191,311.60","193,826.00","195,333.60","197,583.50","200,031.10","203,543.20","206,169.90","210,707.40","209,330.50","212,372.40","216,696.30","220,310.00","224,484.50","227,549.40","229,698.20","229,514.00","230,100.60","228,090.70","227,572.20","230,273.60","232,261.30","235,531.10","239,242.10","242,709.60","245,631.60","249,512.20","252,772.20","255,672.10","260,884.30","262,695.00","263,653.60","263,517.90","266,001.40","267,393.70","270,939.40","276,291.00","279,082.80","281,178.40","284,263.20","286,397.70","289,011.20","293,194.00","293,622.90","293,884.40","294,763.90","297,830.00","300,360.90","307,018.80","310,281.30","314,156.00","314,739.30","318,918.90","323,660.10","328,656.90","332,756.30","333,428.30","336,365.00","339,111.60","344,923.50","346,318.50","350,349.20","353,335.60","349,031.60","318,403.00","346,607.60","354,795.30","353,546.20","367,532.90","375,041.80","392,028.40","388,929.80","395,025.80","396,789.20","401,952.60",
Italy,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","368,556.35","370,710.57","371,220.74","369,184.02","371,729.59","373,018.32","376,310.27","381,812.61","386,061.78","389,215.45","391,607.58","397,486.22","399,854.27","398,454.15","397,192.04","396,398.71","397,056.39","398,494.42","399,310.61","401,004.42","399,582.58","399,051.24","398,717.56","402,229.09","403,288.75","404,887.74","404,671.36","405,966.87","404,922.07","408,200.48","410,792.52","411,423.20","412,038.73","414,954.20","416,943.32","422,349.51","421,191.17","422,335.59","423,216.22","421,696.45","426,610.63","422,559.02","417,211.81","405,787.56","395,665.40","393,694.06","396,191.09","397,498.45","398,852.65","401,631.34","403,421.67","405,583.14","407,685.52","407,868.68","405,877.40","401,953.17","397,390.45","394,655.32","392,635.25","389,725.52","385,940.23","386,085.77","386,922.56","386,131.77","386,793.49","386,608.07","387,141.85","385,748.51","387,116.07","388,600.67","389,281.11","391,291.30","392,770.34","393,399.23","395,484.59","396,697.87","398,753.50","400,469.99","402,224.48","404,386.50","403,951.60","404,132.13","404,642.11","405,823.31","406,592.75","407,469.15","407,720.89","404,455.74","381,075.44","335,073.17","382,826.27","380,194.06","382,011.49","391,247.37","402,601.15","406,326.98","406,854.74","411,049.16","412,682.20","412,142.12",
