International Financial Statistics (IFS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","117,845,100.00","117,325,925.00","117,535,925.00","118,476,050.00","116,850,875.00","117,293,850.00","117,918,775.00","117,960,300.00","119,965,250.00","120,531,775.00","120,561,075.00","121,736,125.00","122,635,950.00","121,720,200.00","120,392,350.00","119,979,400.00","120,183,325.00","121,156,550.00","121,538,025.00","121,875,625.00","121,952,475.00","122,787,775.00","123,150,875.00","124,496,050.00","125,407,625.00","125,422,925.00","126,192,450.00","125,957,425.00","126,602,350.00","127,579,550.00","128,877,275.00","129,109,500.00","129,309,450.00","129,499,775.00","129,249,150.00","131,000,350.00","131,865,450.00","131,897,275.00","131,190,050.00","131,772,350.00","132,245,425.00","131,447,200.00","129,822,325.00","126,635,075.00","120,549,700.00","122,880,225.00","122,832,300.00","124,372,550.00","125,681,550.00","127,165,800.00","129,478,750.00","128,432,100.00","127,082,025.00","125,966,325.00","129,034,000.00","128,858,150.00","130,647,575.00","129,448,475.00","128,963,400.00","128,868,700.00","130,656,650.00","131,833,075.00","133,099,200.00","132,930,050.00","134,020,400.00","131,602,425.00","131,712,500.00","132,318,500.00","134,378,150.00","134,562,475.00","134,693,550.00","134,465,425.00","135,468,975.00","135,256,075.00","135,525,575.00","135,729,100.00","136,831,725.00","137,305,300.00","138,470,650.00","138,629,800.00","138,762,550.00","139,183,675.00","138,486,025.00","138,299,550.00","138,594,350.00","139,041,325.00","139,363,375.00","135,540,075.00","136,107,000.00","125,294,700.00","132,347,050.00","134,837,650.00","134,615,050.00","135,082,800.00","134,599,000.00","136,094,200.00","135,460,900.00","137,018,825.00","136,651,875.00","136,683,775.00",
Jordan,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","3,068.14","3,029.23","3,024.01","3,103.09","3,077.39","3,146.87","3,200.88","3,206.17","3,204.11","3,259.65","3,334.49","3,375.53","3,402.93","3,447.03","3,472.72","3,559.71","3,613.64","3,640.43","3,695.30","3,743.32","3,744.52","3,791.57","3,851.14","3,924.25","4,022.24","4,085.48","4,223.42","4,286.77","4,374.32","4,468.48","4,517.80","4,611.70","4,735.17","4,808.38","4,921.11","5,104.89","5,225.09","5,282.29","5,272.56","5,390.92","5,565.38","5,678.75","5,701.68","5,739.88","5,832.07","5,926.92","5,984.02","5,948.35","5,971.53","6,047.91","6,138.12","6,161.14","6,155.45","6,219.90","6,291.36","6,336.25","6,352.77","6,351.59","6,399.81","6,438.08","6,479.51","6,542.78","6,550.65","6,569.21","6,691.08","6,738.15","6,771.94","6,824.42","6,839.41","6,899.30","6,974.46","7,008.58","7,008.28","7,041.93","7,104.94","7,146.91","7,182.78","7,207.86","7,239.35","7,276.90","7,316.28","7,363.99","7,385.00","7,402.94","7,459.53","7,495.55","7,531.87","7,556.35","7,524.48","7,160.66","7,395.69","7,503.44","7,546.42","7,390.08","7,591.71","7,696.72","7,733.24","7,574.84","7,751.14",,
"Kazakhstan, Rep. of","National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","1,135,874.17","1,104,121.55","1,006,482.49","970,609.31","1,050,200.00","1,022,000.00","1,039,500.00","1,109,600.00","1,118,100.00","1,155,600.00","1,170,800.00","1,190,500.00","1,247,400.00","1,311,600.00","1,344,400.00","1,357,300.00","1,383,700.00","1,405,400.00","1,471,100.00","1,516,000.00","1,536,700.00","1,573,100.00","1,601,500.00","1,602,100.00","1,681,500.00","1,713,500.00","1,737,000.00","1,787,400.00","1,840,400.00","1,861,000.00","1,905,900.00","1,983,400.00","1,988,000.00","2,070,200.00","2,159,200.00","2,185,500.00","2,213,200.00","2,277,700.00","2,351,800.00","2,308,100.00","2,361,500.00","2,396,600.00","2,391,100.00","2,303,600.00","2,319,000.00","2,337,700.00","2,412,700.00","2,496,800.00","2,497,400.00","2,547,200.00","2,579,900.00","2,639,900.00","2,680,500.00","2,734,400.00","2,778,000.00","2,841,400.00","2,845,500.00","2,892,700.00","2,901,400.00","2,946,500.00","2,994,100.00","3,062,200.00","3,098,400.00","3,114,900.00","3,131,500.00","3,174,300.00","3,218,000.00","3,273,400.00","3,213,600.00","3,211,800.00","3,223,800.00","3,276,000.00","3,219,800.00","3,207,700.00","3,269,500.00","3,344,500.00","3,332,600.00","3,375,900.00","3,405,600.00","3,436,100.00","3,476,100.00","3,521,200.00","3,540,600.00","3,567,800.00","3,613,400.00","3,680,000.00","3,709,500.00","3,737,600.00","3,713,700.00","3,469,000.00","3,538,400.00","3,636,100.00","3,655,700.00","3,704,900.00","3,769,800.00","3,815,500.00","3,824,300.00","3,786,057.00","3,835,275.74",,
Kenya,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,314,508.64","1,326,053.31","1,349,018.04","1,371,549.51","1,414,166.54","1,438,246.14","1,449,813.23","1,490,482.68","1,501,338.99","1,512,171.22","1,527,504.09","1,548,550.37","1,565,860.44","1,578,808.63","1,602,991.58","1,621,120.50","1,626,853.71","1,645,938.56","1,661,853.61","1,677,461.28","1,708,295.45","1,735,838.33","1,747,567.54","1,752,390.26","1,790,191.15","1,818,785.52","1,832,281.60","1,848,157.78","1,855,935.07","1,887,562.81","1,916,224.21","1,937,135.95","1,952,043.14","1,948,859.02","1,981,880.90","2,005,533.74","2,049,889.64","2,065,954.41","2,092,881.49","2,124,101.55","2,147,075.21","2,187,365.76","2,205,694.17","2,217,970.16","2,238,917.04","2,095,967.07","2,138,917.14","2,261,047.53","2,296,210.89","2,325,517.64","2,349,930.88","2,420,220.65","2,441,540.96","2,460,180.53",,,
"Korea, Rep. of","National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","184,173,900.00","182,685,900.00","185,877,700.00","190,517,300.00","196,298,800.00","204,902,900.00","210,601,600.00","216,680,100.00","220,786,300.00","223,728,300.00","229,891,100.00","229,145,200.00","231,953,500.00","234,966,300.00","238,138,800.00","242,336,200.00","248,502,400.00","253,005,600.00","258,120,900.00","260,953,400.00","259,233,300.00","258,833,700.00","263,836,100.00","270,800,000.00","274,198,000.00","276,291,500.00","277,412,100.00","279,514,700.00","281,893,100.00","287,212,600.00","291,536,100.00","294,487,800.00","299,314,800.00","301,501,600.00","306,367,700.00","308,755,400.00","313,924,100.00","319,355,900.00","323,104,600.00","330,073,800.00","331,402,000.00","333,136,800.00","335,854,800.00","324,825,700.00","325,118,000.00","329,451,100.00","339,310,500.00","341,844,700.00","348,541,700.00","355,163,300.00","359,266,200.00","363,646,800.00","367,040,100.00","368,841,500.00","370,782,800.00","372,534,000.00","375,758,900.00","377,885,600.00","379,592,800.00","381,499,300.00","384,778,000.00","389,265,100.00","392,597,800.00","396,032,700.00","399,426,600.00","402,933,000.00","404,187,400.00","406,170,500.00","409,319,800.00","411,297,900.00","417,232,800.00","420,169,900.00","421,371,400.00","426,455,100.00","428,228,900.00","430,824,800.00","435,067,500.00","438,176,700.00","444,494,500.00","443,072,700.00","448,415,500.00","451,270,100.00","454,568,200.00","457,751,600.00","456,842,600.00","461,684,700.00","464,119,800.00","470,019,300.00","463,733,000.00","449,696,100.00","460,254,000.00","465,840,300.00","473,871,700.00","477,820,700.00","478,839,600.00","485,245,400.00","488,321,700.00","491,931,700.00","493,519,800.00","491,517,200.00","492,918,100.00"
Latvia,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","2,929.41","2,914.63","2,887.17","2,812.23","2,910.79","2,865.27","2,967.75","3,066.21","3,092.58","3,084.29","3,180.06","3,141.45","3,213.18","3,360.37","3,288.46","3,396.75","3,395.43","3,526.42","3,568.94","3,712.57","3,736.29","3,826.04","3,908.80","3,958.30","4,092.67","4,145.97","4,167.29","4,264.10","4,374.98","4,475.93","4,699.27","4,876.71","4,836.54","5,078.19","5,249.72","5,485.30","5,573.88","5,688.64","5,794.13","5,728.56","5,841.26","5,630.42","5,402.04","5,272.11","5,082.05","4,790.35","4,547.04","4,563.58","4,536.81","4,503.16","4,486.02","4,528.11","4,467.60","4,621.59","4,692.40","4,700.89","4,941.21","4,914.03","4,976.64","5,001.09","5,018.03","5,015.34","5,084.49","5,127.88","5,126.14","5,152.39","5,176.05","5,202.32","5,281.47","5,359.35","5,398.61","5,390.26","5,488.90","5,441.45","5,448.07","5,514.43","5,597.01","5,646.75","5,664.90","5,706.60","5,774.62","5,868.77","5,931.62","5,990.16","6,007.28","6,044.56","6,042.38","6,065.81","6,034.01","5,615.10","5,938.57","6,049.14","6,008.34","6,140.32","6,203.16","6,191.72","6,308.32","6,286.52","6,221.92","6,220.32",
"Lesotho, Kingdom of","National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,043.00","4,209.00","4,225.00","4,205.00","4,367.00","4,513.00","4,443.00","4,255.00","4,333.00","4,172.00","4,297.00","4,562.00","4,455.00","4,556.00","4,623.00","4,662.00","4,609.00","4,755.00","4,816.00","4,980.00","5,080.00","5,097.00","5,095.00","5,095.00","5,136.00","5,086.00","5,218.00","5,293.00","5,321.00","5,043.00","5,188.00","5,514.00","5,410.00","5,470.00","5,519.00","5,326.00","5,582.00","5,658.00","5,578.00","5,563.00","5,488.00","5,399.00","5,433.00","5,466.00","5,370.00","5,259.00","5,206.00","5,655.00","5,203.00","5,308.00","5,396.00","5,431.00","5,458.00","4,382.00","5,195.00","5,080.00","5,050.00","5,113.00","5,112.00","5,149.00","5,131.00","5,114.00",,,
Lithuania,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","4,395.26","4,458.27","4,499.63","4,501.04","4,425.14","4,442.53","4,387.53","4,396.02","4,491.16","4,537.00","4,605.32","4,675.67","4,788.37","4,805.49","4,902.03","5,018.28","5,023.80","5,181.15","5,271.89","5,351.44","5,585.31","5,668.28","5,828.36","5,932.29","5,989.06","6,100.55","6,140.17","6,282.05","6,418.19","6,520.46","6,696.32","6,820.43","6,878.17","7,036.03","7,157.48","7,352.74","7,610.17","7,804.04","8,013.23","8,151.28","8,111.34","8,165.54","8,063.88","7,999.96","6,971.31","6,879.33","6,907.73","6,832.58","6,885.21","6,971.78","7,002.62","7,168.41","7,305.51","7,409.27","7,473.26","7,554.32","7,594.84","7,643.28","7,800.84","7,834.96","7,882.13","7,967.06","8,025.30","8,125.79","8,215.82","8,267.64","8,298.13","8,329.99","8,361.38","8,426.19","8,481.05","8,508.41","8,529.06","8,601.86","8,702.22","8,814.36","8,907.56","8,977.88","9,069.95","9,165.56","9,253.29","9,366.52","9,402.02","9,540.32","9,677.79","9,812.07","9,832.59","9,958.76","9,928.39","9,406.18","9,976.93","10,004.73","10,181.16","10,333.37","10,490.42","10,623.20","10,642.13","10,565.60","10,634.62","10,582.37",
Luxembourg,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","6,600.10","6,831.89","6,958.24","7,001.13","7,193.32","7,348.63","7,559.97","7,529.10","7,918.78","7,815.13","7,951.31","7,998.03","8,128.50","8,027.24","8,142.72","8,355.78","8,390.72","8,538.23","8,405.54","8,376.08","8,365.37","8,575.34","8,666.18","8,992.22","8,934.47","8,944.97","9,154.08","9,055.30","8,980.34","9,053.46","9,236.09","9,714.83","9,723.06","9,750.60","9,798.75","9,941.69","10,440.70","10,671.41","10,593.02","10,677.05","10,791.58","10,672.61","10,584.79","10,194.80","10,002.31","10,126.28","10,342.96","10,391.31","10,550.08","10,695.81","10,565.91","10,577.21","10,725.05","10,630.75","10,761.49","10,707.90","10,763.01","10,779.71","10,899.41","11,082.43","11,083.55","11,290.10","11,315.99","11,211.64","11,446.34","11,293.06","11,519.55","11,819.57","11,742.60","11,813.83","11,750.61","11,823.02","12,189.53","12,355.10","12,439.15","12,497.21","12,340.30","12,502.39","12,639.79","12,653.57","12,680.52","12,602.32","12,718.99","12,762.54","12,801.52","13,026.97","13,025.71","13,091.68","12,930.15","12,211.33","13,223.69","13,174.93","13,441.30","13,519.49","13,493.25","13,713.62","13,815.92","13,747.22","13,899.86",,
Malta,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",,,,,,,,,"1,293.39","1,357.99","1,338.39","1,369.18","1,323.69","1,310.08","1,335.62","1,329.38","1,355.58","1,359.17","1,366.22","1,353.64","1,386.84","1,415.06","1,424.62","1,427.79","1,415.87","1,381.53","1,415.56","1,452.17","1,416.34","1,466.89","1,481.34","1,489.95","1,467.15","1,506.15","1,516.71","1,513.31","1,563.46","1,571.10","1,587.05","1,569.44","1,618.37","1,629.89","1,635.73","1,647.84","1,594.21","1,595.23","1,619.45","1,648.61","1,696.33","1,673.42","1,712.54","1,733.55","1,711.11","1,690.33","1,712.90","1,734.66","1,754.34","1,770.50","1,799.14","1,805.55","1,828.74","1,878.07","1,906.20","1,905.85","1,972.62","2,003.92","2,036.02","2,081.67","2,150.92","2,213.11","2,230.79","2,276.72","2,237.38","2,275.30","2,316.08","2,343.88","2,496.18","2,519.65","2,573.37","2,579.54","2,603.13","2,686.01","2,755.79","2,751.75","2,809.70","2,881.83","2,916.40","2,948.26","2,827.09","2,440.95","2,599.10","2,703.86","2,862.97","2,862.45","3,013.71","3,067.34","3,097.42","3,132.51","3,174.86","3,211.86",
Mexico,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","2,975,306.40","2,996,685.10","3,012,198.40","3,016,220.80","3,046,721.60","3,064,790.60","3,094,735.80","3,123,129.30","3,181,993.20","3,229,870.80","3,262,845.30","3,234,596.60","3,235,551.80","3,218,171.60","3,225,225.60","3,204,642.40","3,183,174.10","3,212,086.10","3,237,300.60","3,244,887.80","3,252,582.30","3,260,201.00","3,258,828.50","3,294,689.60","3,341,097.70","3,392,797.60","3,385,361.90","3,430,301.20","3,435,972.60","3,445,708.30","3,474,720.20","3,532,818.90","3,594,866.90","3,629,943.80","3,639,930.90","3,649,007.30","3,674,730.90","3,702,938.70","3,726,228.00","3,740,877.60","3,734,037.20","3,761,640.10","3,774,079.30","3,712,445.90","3,522,574.80","3,469,911.90","3,584,717.40","3,644,098.30","3,682,516.10","3,722,689.50","3,758,077.80","3,786,957.40","3,815,963.60","3,836,161.80","3,910,775.80","3,936,243.20","3,962,210.90","3,997,185.50","4,018,590.60","4,053,227.70","4,063,688.40","4,042,189.80","4,077,316.80","4,101,442.40","4,129,859.60","4,184,162.80","4,194,451.40","4,241,220.90","4,264,599.90","4,316,337.80","4,366,783.20","4,357,039.00","4,382,440.50","4,401,464.90","4,441,445.30","4,493,943.70","4,515,356.30","4,529,856.80","4,511,044.70","4,576,803.20","4,628,828.50","4,625,689.10","4,638,051.90","4,636,254.50","4,638,614.90","4,619,129.60","4,628,823.40","4,607,595.50","4,561,899.90","3,751,460.80","4,242,295.40","4,425,479.00","4,443,929.40","4,475,675.70","4,424,962.50","4,476,192.00","4,528,582.50","4,577,604.70","4,619,060.70","4,640,091.30","4,700,668.80"
"Moldova, Rep. of","National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38,130.48","38,903.09","38,448.91","38,054.61","39,340.32","39,704.36","40,494.25","40,385.38","40,082.40","41,624.84","42,441.65","42,318.80","41,612.51","44,086.03","44,705.74","42,002.73","41,238.76","37,929.45","39,065.92","39,975.83","44,037.13","43,697.02","44,778.05","47,676.94","44,389.32","43,271.50","39,570.59",,
"Netherlands, The","National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","126,053.16","126,955.31","128,038.98","129,210.68","131,364.30","132,826.26","134,655.58","136,550.02","137,400.33","138,934.82","140,081.26","141,901.93","142,055.93","142,774.26","143,022.38","143,483.65","142,608.15","143,104.80","143,326.99","143,541.48","143,566.37","143,070.60","143,197.52","143,964.19","145,267.41","145,960.04","146,178.09","146,496.77","146,969.75","148,003.64","149,991.26","150,937.03","151,878.78","154,152.45","155,074.52","156,353.11","158,144.45","158,953.59","160,729.90","162,904.61","163,438.17","164,243.25","164,042.63","162,960.04","157,103.85","157,107.79","157,737.33","158,687.43","158,387.73","159,082.98","159,785.82","161,588.45","162,521.06","162,375.76","162,376.39","161,396.69","161,060.74","161,142.78","160,451.11","159,328.36","159,842.83","159,553.99","160,516.16","161,535.01","161,381.84","162,326.70","162,732.51","164,190.06","165,167.67","165,676.52","166,246.93","166,274.21","167,802.07","168,197.21","170,074.79","171,499.18","172,399.04","173,915.15","175,159.39","176,485.83","177,276.15","178,413.83","178,848.60","179,585.97","180,843.72","181,601.01","182,314.42","183,032.59","180,324.50","166,082.12","176,625.96","176,519.17","176,553.09","183,166.24","186,485.15","187,417.95","188,081.50","192,693.96","192,401.60","193,592.42",
New Zealand,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","34,250.00","34,090.00","34,307.00","35,123.00","35,463.00","35,768.00","36,275.00","36,674.00","37,593.00","37,272.00","37,411.00","37,703.00","37,381.00","38,606.00","38,535.00","39,048.00","39,517.00","39,831.00","40,603.00","41,483.00","41,600.00","41,772.00","42,274.00","42,933.00","44,001.00","44,024.00","44,056.00","44,166.00","44,246.00","45,354.00","45,436.00","45,484.00","45,896.00","45,709.00","46,564.00","46,915.00","47,285.00","47,922.00","48,420.00","48,654.00","48,394.00","47,683.00","47,748.00","47,727.00","47,328.00","47,917.00","48,186.00","48,804.00","49,352.00","49,620.00","48,911.00","48,386.00","49,192.00","49,630.00","50,217.00","50,624.00","50,706.00","51,014.00","51,303.00","51,901.00","52,177.00","52,013.00","52,478.00","52,779.00","53,365.00","53,637.00","54,298.00","55,038.00","55,407.00","55,895.00","56,677.00","57,270.00","57,863.00","58,573.00","58,945.00","59,154.00","59,864.00","60,703.00","61,325.00","62,141.00","62,662.00","63,544.00","63,462.00","64,523.00","64,937.00","65,315.00","65,869.00","66,229.00","65,377.00","59,053.00","67,506.00","67,566.00","68,558.00","70,254.00","67,063.00","69,167.00","68,740.00","70,040.00","71,399.00","70,863.00",
Norway,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","528,719.29","534,741.86","525,101.44","527,800.83","532,319.04","532,562.01","543,561.17","552,957.75","561,318.69","553,171.43","558,567.61","558,788.18","565,403.53","564,394.60","571,374.40","576,363.05","571,183.98","583,086.09","574,408.08","580,913.14","580,746.85","577,976.82","586,109.44","586,297.26","607,048.84","608,299.88","601,266.66","607,182.39","616,694.42","619,934.89","625,088.11","626,497.68","630,925.43","631,714.65","638,205.93","649,902.11","650,082.19","650,071.85","658,428.48","665,605.59","658,830.85","659,159.12","657,955.46","660,015.54","650,278.63","644,525.74","644,942.76","645,289.12","660,256.79","653,221.85","636,973.84","654,898.52","655,221.62","652,505.86","663,048.37","663,391.28","678,848.34","680,450.91","670,576.14","676,062.80","676,634.90","681,532.22","688,228.55","687,006.81","694,027.97","699,140.69","702,070.12","710,626.64","709,074.04","712,820.27","721,144.16","714,832.96","718,375.85","718,147.53","715,942.70","725,532.28","733,753.64","740,823.05","745,899.58","741,650.18","745,284.40","747,526.28","752,235.77","752,489.08","749,154.70","755,596.86","759,890.20","766,189.34","756,571.33","715,206.03","746,152.89","756,817.74","752,193.55","762,006.28","787,240.75","792,364.67","785,998.33","794,867.61","805,155.09","806,724.05",
Philippines,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,271,287.97","3,274,660.87","3,339,044.45","3,365,857.56","3,463,039.11","3,496,845.56","3,535,859.23","3,594,698.44","3,651,754.67","3,713,954.71","3,764,427.68","3,849,805.11","3,915,630.63","3,982,727.94","4,037,369.60","4,114,910.94","4,176,385.72","4,264,655.76","4,336,544.17","4,386,136.11","4,456,357.20","4,533,449.35","4,599,168.04","4,662,879.26","4,746,401.58","4,796,457.34","4,882,984.29","4,933,644.13","4,712,448.62","4,030,993.90","4,342,042.77","4,464,670.28","4,524,236.30","4,529,179.88","4,658,319.79","4,811,199.07","4,882,366.64","4,876,801.73",,,
"Poland, Rep. of","National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","223,131.19","223,207.99","225,374.93","226,114.84","227,960.73","232,680.36","237,275.50","240,742.63","242,493.77","245,167.06","245,954.39","250,351.49","249,538.31","248,805.55","249,999.85","250,034.34","251,718.17","253,472.00","255,863.20","257,217.88","258,227.81","262,553.40","265,929.88","267,971.95","273,979.51","276,289.26","276,175.08","279,015.27","280,975.88","282,263.81","287,626.94","292,645.22","297,125.81","304,017.68","308,879.75","304,444.44","318,026.70","322,285.26","327,887.44","332,215.36","336,822.39","338,834.71","338,926.38","339,377.70","344,190.77","344,937.75","347,416.07","352,672.56","351,163.35","356,192.13","360,416.47","364,305.45","369,912.74","374,489.84","378,694.66","381,751.48","382,954.98","382,257.74","382,410.32","382,145.24","381,541.26","384,438.53","387,270.35","389,531.66","394,441.89","398,815.28","402,007.48","405,442.72","412,010.38","414,285.26","419,805.15","423,160.90","422,421.63","428,590.04","431,043.26","439,306.45","444,621.24","448,995.37","455,633.78","461,794.75","470,182.54","476,807.28","482,736.09","487,474.41","494,274.60","498,744.87","502,451.42","505,736.13","509,480.90","462,580.13","493,858.53","494,458.61","507,174.87","518,198.57","529,022.27","537,671.33","560,550.78","547,457.59","552,706.64","539,674.81",
