International Financial Statistics (IFS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","37,983.60","38,566.92","38,994.43","39,288.14","39,810.36","40,018.21","40,410.55","40,642.64","41,547.13","41,327.56","41,932.95","42,213.65","42,081.66","42,488.77","42,550.95","43,146.26","43,222.98","43,022.43","42,827.28","42,507.60","42,552.26","42,174.07","42,548.31","42,709.05","43,094.67","43,341.21","43,358.29","43,230.07","43,562.51","43,723.11","43,516.76","43,574.65","43,930.83","44,354.81","44,304.81","44,620.26","45,089.79","45,289.59","45,382.89","45,890.38","45,893.90","45,667.83","45,630.14","45,040.70","43,907.18","43,946.45","44,334.15","44,355.34","44,720.39","44,967.44","45,005.14","44,917.81","44,621.01","44,429.62","44,082.70","43,430.96","43,193.91","42,611.68","42,130.41","41,464.56","41,637.11","41,952.87","41,894.44","42,353.17","42,081.33","42,221.34","42,261.32","42,603.20","42,877.92","43,005.54","43,054.47","43,260.81","43,462.75","43,592.94","44,104.76","44,515.81","45,037.01","45,264.56","45,579.14","45,955.37","46,289.64","46,650.48","46,895.73","47,181.33","47,597.93","47,869.72","48,086.03","48,480.72","46,369.15","39,358.36","45,099.96","45,267.09","44,108.27","46,060.58","47,351.58","48,264.19","49,352.77","49,471.12","49,644.24","49,812.46",
Romania,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","89,062.89","87,949.44","87,049.32","87,314.32","86,919.91","86,653.14","87,534.71","88,347.83","89,266.94","90,509.81","89,044.34","89,640.60","92,056.98","92,897.92","94,688.45","95,456.96","97,626.89","98,646.70","99,049.95","100,792.34","99,116.64","100,456.67","102,668.56","102,891.16","107,640.89","109,588.21","113,393.65","115,116.16","115,586.98","115,026.50","117,311.26","120,206.42","122,143.58","126,399.08","127,386.66","129,057.50","131,392.17","134,202.08","135,467.90","139,924.80","146,454.02","148,899.55","149,170.74","146,594.47","140,621.32","139,632.42","139,858.55","139,754.76","133,399.56","134,287.32","134,420.26","136,719.16","139,317.95","139,773.75","142,283.33","141,346.98","142,726.76","144,831.32","142,740.45","143,399.87","141,102.74","143,164.90","144,040.73","145,977.46","147,775.50","148,023.28","150,631.34","151,694.89","152,926.70","152,344.58","155,203.08","156,809.43","156,659.26","158,280.20","158,654.29","161,651.03","169,240.50","170,830.10","172,842.56","175,217.42","178,179.68","180,978.73","183,407.24","185,103.23","186,855.28","188,483.77","189,513.67","190,597.82","191,893.11","173,512.35","180,012.23","186,158.69","189,403.31","192,597.68","193,757.46","194,773.68","197,565.87","199,955.52","202,374.69","204,554.35",
Russian Federation,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",,,,,,,,,,,,,,,,,,,,,"13,995,403.70","14,151,513.50","14,390,414.70","14,652,869.80","14,928,148.40","15,215,841.30","15,446,290.60","15,619,006.50","15,892,039.50","16,133,963.30","16,418,276.80","16,756,959.60","17,080,470.40","17,409,287.20","17,809,026.90","18,147,263.20","18,476,391.20","18,942,698.00","19,360,405.40","19,978,744.30","20,508,814.70","20,636,297.90","20,328,679.10","19,667,547.50","18,973,876.70","18,697,074.20","18,773,811.70","18,976,889.60","19,382,703.20","19,566,858.10","19,669,293.10","19,916,532.10","20,146,599.60","20,337,527.10","20,571,680.60","20,820,121.20","21,147,058.80","21,228,913.50","21,338,486.10","21,352,864.90","21,511,017.80","21,584,265.10","21,593,012.90","21,717,681.20","21,716,060.90","21,820,648.70","21,751,233.10","21,700,054.60","21,479,316.80","21,335,446.70","21,376,736.30","21,321,628.90","21,362,152.30","21,373,655.60","21,395,182.30","21,571,715.30","21,615,222.20","21,764,465.80","21,912,352.00","21,916,952.40","22,214,153.40","22,338,096.40","22,392,013.60","22,540,689.10","22,532,106.10","23,041,719.20","22,816,289.20","22,713,048.30","22,668,457.30","21,651,776.50","22,253,279.90","22,417,897.00","22,570,515.70","23,290,725.90","23,105,679.70",,,,,,
Saudi Arabia,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"472,498.10","487,268.90","492,963.70","521,219.10","535,829.90","544,264.40","555,165.30","564,832.00","573,404.10","579,886.40","590,590.10","575,481.50","573,734.00","591,161.40","614,601.70","606,107.20","613,298.10","616,018.60","626,245.20","625,883.60","632,606.70","652,555.70","655,982.80","656,666.20","654,665.60","663,558.30","661,500.00","672,282.10","657,089.20","664,715.70","668,243.50","667,087.10","671,959.90","675,648.90","687,281.30","695,795.50","686,042.90","685,974.40","685,188.20","696,177.60","675,646.90","642,150.60","650,879.50","665,307.70","655,093.50","666,700.70","695,146.70","711,706.60","731,080.50","739,074.90","748,181.30","757,964.50",
Senegal,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,269,166.70","2,418,558.41","2,509,146.81","2,578,167.09","2,547,687.89","2,594,265.82","2,591,993.44","2,663,472.85","2,704,892.38","2,756,406.15","2,800,771.71","2,796,216.91","2,871,367.46","2,962,881.72","2,990,621.31","3,052,557.74","3,080,783.65","3,133,753.10","3,183,299.70","3,217,089.93","3,255,546.89","3,287,813.68","3,333,742.07","3,319,829.53","3,382,756.76","3,288,494.13","3,316,498.46","3,384,108.83","3,406,322.80","3,523,522.35","3,569,965.72","3,647,286.63","3,629,307.21","3,657,777.34","3,690,223.47",,
"Serbia, Rep. of","National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","537,401.96","535,195.36","530,330.93","533,146.72","524,985.19","423,630.70","487,322.58","498,477.81","524,517.54","530,384.59","521,469.41","476,645.17","540,242.48","539,206.26","548,919.65","565,323.56","568,275.25","577,283.80","593,228.80","594,421.75","600,405.21","610,314.42","608,902.25","615,708.43","643,408.75","648,911.21","661,303.08","701,995.74","670,962.57","692,577.03","710,957.05","728,129.48","718,327.62","731,672.09","740,187.55","755,944.22","768,497.02","777,866.07","783,879.62","806,344.63","823,545.66","833,718.95","832,039.97","825,297.18","807,299.24","803,797.31","808,023.02","805,509.44","806,376.08","808,420.81","818,424.40","815,159.06","829,251.43","827,181.86","827,242.19","831,094.47","819,504.90","831,672.41","821,232.22","819,499.57","838,061.97","839,619.90","857,782.17","851,499.90","839,902.87","832,594.62","823,452.95","836,775.83","842,073.34","848,199.14","846,504.24","855,917.60","869,222.57","874,088.56","880,402.17","881,645.30","883,872.06","890,390.66","899,950.19","904,724.01","926,262.49","936,159.98","938,306.19","938,773.86","950,671.44","964,660.99","985,131.13","1,001,054.16","998,637.41","905,525.34","972,043.40","990,035.21","1,015,390.09","1,029,131.20","1,049,724.68","1,064,295.98","1,054,921.35","1,068,331.86","1,060,626.58","1,068,426.11",
Singapore,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","42,144.30","41,830.60","41,485.70","42,225.70","42,973.10","44,059.20","44,901.50","45,276.70","46,764.00","47,666.10","49,242.20","49,548.70","49,193.90","47,929.50","46,878.80","47,181.20","48,589.80","50,000.00","50,040.60","49,966.30","50,602.00","49,921.50","52,758.60","54,270.40","55,875.50","56,744.00","57,157.00","58,475.20","58,907.90","60,391.40","61,871.10","63,863.90","64,987.40","65,714.20","66,961.00","69,557.60","70,566.90","72,209.60","74,131.00","74,448.50","76,342.40","74,425.30","73,948.40","72,248.20","70,353.20","73,327.80","76,172.40","77,291.70","81,783.00","86,693.40","84,282.50","87,553.00","89,200.10","88,981.20","91,293.30","91,872.10","93,551.80","94,392.90","93,478.10","95,919.00","96,792.90","98,773.00","99,453.80","100,380.50","101,098.90","102,161.80","103,095.20","104,657.10","104,217.80","105,493.10","106,809.90","106,787.80","107,695.80","108,861.00","109,957.90","111,945.50","112,689.80","113,089.90","115,913.40","117,251.10","118,161.00","118,949.70","119,702.00","119,022.90","119,521.20","120,089.90","120,592.50","120,839.40","120,778.30","105,503.70","115,240.60","119,592.30","123,152.10","122,163.70","123,989.50","126,836.00","127,798.50","127,484.70",,,
Slovak Rep.,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","10,242.44","10,243.40","10,158.81","10,926.28","10,560.33","10,380.85","10,316.21","10,269.51","10,378.98","10,481.78","10,545.35","10,605.21","10,680.48","10,793.28","10,834.62","11,069.89","11,104.87","11,216.47","11,468.60","11,544.46","11,749.83","11,927.27","11,974.18","12,176.09","12,334.23","12,415.70","12,703.69","12,898.50","13,058.02","13,331.94","13,549.85","13,747.37","14,074.23","14,403.02","14,678.09","15,091.59","15,408.27","15,789.67","16,163.58","17,194.72","16,705.14","16,916.09","17,160.54","17,373.42","15,681.26","15,950.06","16,237.49","16,568.15","16,903.81","17,115.09","17,313.20","17,432.84","17,485.85","17,606.67","17,687.59","17,821.87","17,860.67","17,888.09","17,903.15","17,881.16","17,887.24","17,943.86","18,025.49","18,129.10","18,240.18","18,378.06","18,553.43","18,755.61","19,113.33","19,349.26","19,571.51","19,713.13","19,712.11","19,761.09","19,833.23","19,952.17","20,109.55","20,298.63","20,467.97","20,711.13","20,899.51","21,147.03","21,358.87","21,470.15","21,651.96","21,716.47","21,768.39","21,877.35","21,270.62","19,695.26","21,508.71","21,603.12","21,291.43","21,698.87","21,772.35","21,849.43","21,908.82","21,982.03","22,053.25","22,112.72",
"Slovenia, Rep. of","National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","6,280.23","6,331.92","6,380.45","6,427.51","6,541.74","6,815.36","6,633.96","6,752.93","6,832.85","6,922.71","7,003.70","7,061.56","7,154.47","7,156.45","7,201.77","7,284.02","7,387.08","7,352.53","7,448.16","7,589.39","7,580.10","7,579.35","7,699.95","7,752.84","7,821.48","7,920.09","8,001.97","8,027.64","8,097.69","8,247.45","8,318.35","8,465.00","8,514.20","8,713.18","8,857.78","9,047.55","9,215.29","9,346.57","9,526.63","9,530.01","9,699.81","9,866.46","9,800.15","9,420.86","9,023.20","8,929.82","8,940.15","8,918.35","8,920.33","9,079.64","9,102.13","9,143.74","9,212.25","9,155.22","9,147.95","9,150.30","9,098.38","8,926.59","8,956.12","8,769.86","8,790.35","8,809.50","8,817.09","8,988.28","8,989.83","9,071.67","9,127.34","9,132.96","9,173.82","9,248.50","9,303.70","9,302.26","9,410.65","9,531.83","9,620.66","9,694.38","9,862.25","9,983.88","10,074.97","10,305.67","10,307.45","10,447.81","10,589.95","10,716.80","10,781.13","10,743.52","10,919.46","11,050.00","10,525.03","9,500.25","10,732.97","10,597.47","10,779.96","10,994.02","11,311.29","11,694.20","11,815.55","11,909.84","11,757.71","11,850.14",
South Africa,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","662,167.00","663,103.50","661,651.00","662,288.10","668,653.10","673,974.90","681,334.00","688,828.60","696,879.90","703,291.10","710,256.40","716,300.40","720,702.20","724,303.50","726,228.40","731,815.40","739,763.00","749,149.50","757,628.60","763,932.00","768,781.20","772,535.70","776,728.10","781,209.30","793,035.10","804,117.40","817,265.70","825,993.50","834,390.50","849,364.10","860,946.20","866,709.00","881,938.50","894,464.20","906,818.10","919,357.80","934,285.10","941,942.10","952,981.10","966,485.60","970,544.90","982,394.10","984,741.40","979,135.80","963,904.90","960,596.70","962,824.40","969,246.10","980,554.60","988,785.50","997,588.10","1,006,873.50","1,016,789.20","1,022,479.80","1,026,710.60","1,033,734.20","1,039,593.80","1,048,271.70","1,052,533.50","1,057,553.50","1,065,760.30","1,073,512.50","1,078,605.80","1,084,412.50","1,082,916.70","1,087,190.70","1,092,415.50","1,100,595.20","1,108,545.40","1,099,186.40","1,104,137.40","1,108,923.40","1,111,572.20","1,112,641.70","1,112,506.20","1,113,450.80","1,118,707.70","1,124,808.10","1,126,876.60","1,131,309.20","1,136,056.90","1,133,680.40","1,148,222.20","1,152,272.90","1,141,834.00","1,146,495.90","1,148,083.90","1,147,687.00","1,147,695.00","951,505.90","1,082,480.40","1,111,674.30","1,120,822.60","1,136,378.60","1,115,904.70","1,131,186.00","1,149,192.20","1,140,048.40","1,160,792.80","1,146,250.00",
Spain,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","194,690.94","196,899.04","198,761.16","200,920.55","202,936.78","205,356.64","208,088.69","210,423.05","213,800.33","216,490.62","218,828.96","221,057.94","223,416.17","225,081.44","227,179.19","228,725.16","229,710.41","231,596.40","233,025.05","234,768.87","236,968.02","238,216.73","239,788.55","241,832.61","243,304.02","245,696.05","248,008.54","249,674.81","252,125.50","254,366.41","256,827.04","259,399.02","262,383.59","264,943.64","267,407.25","269,944.43","272,428.92","274,887.56","276,997.24","278,743.04","279,359.44","279,682.55","279,171.54","274,629.07","267,487.78","267,475.85","268,047.51","267,953.06","267,893.41","268,311.96","268,181.72","268,321.91","267,919.26","267,088.11","265,363.19","263,603.46","261,148.80","258,645.42","257,301.27","255,395.40","254,609.99","254,385.30","254,291.85","254,714.38","255,649.91","256,854.88","258,740.86","260,963.88","263,958.39","266,806.75","269,223.64","271,843.34","273,692.54","274,827.91","277,182.16","278,689.36","280,877.58","283,754.77","285,541.34","287,081.34","288,307.18","289,996.32","291,505.50","293,427.28","295,213.85","296,235.88","297,109.77","297,755.01","281,416.43","231,250.42","269,725.71","269,566.64","268,950.24","272,587.00","281,059.51","287,426.33","287,392.53","293,838.88","294,469.20","295,130.33",
Sweden,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","648,373.06","657,122.17","660,374.35","668,443.91","675,797.11","680,359.33","685,408.12","698,381.71","703,110.76","720,819.12","726,433.79","724,385.33","726,797.69","727,103.52","729,878.15","735,964.66","735,004.62","746,467.01","751,016.97","752,155.28","760,911.74","756,486.90","767,482.35","772,293.99","786,605.42","789,653.99","796,057.79","802,586.70","806,126.74","811,474.82","821,197.04","826,758.56","839,532.62","853,218.47","863,400.27","869,117.16","877,356.80","881,885.50","888,872.35","898,947.02","891,773.72","891,387.75","886,979.26","855,401.86","842,824.06","843,363.78","842,914.83","846,817.13","869,319.14","887,463.37","898,410.58","912,385.91","915,948.03","919,068.56","931,010.16","917,713.55","919,595.19","920,852.07","919,774.28","912,888.01","925,811.72","925,001.33","929,206.20","935,338.51","943,484.11","951,142.33","957,984.44","965,221.52","978,932.73","988,786.61","1,002,369.42","1,009,809.31","1,009,081.51","1,009,850.20","1,012,722.95","1,021,727.19","1,026,502.85","1,039,934.38","1,049,255.09","1,051,488.36","1,055,394.75","1,066,566.02","1,057,753.14","1,071,848.69","1,077,476.44","1,084,033.15","1,085,382.44","1,090,473.75","1,087,996.78","1,000,212.20","1,073,307.55","1,074,936.51","1,091,094.42","1,100,294.10","1,119,951.98","1,143,750.94","1,141,627.24","1,143,992.99","1,147,919.01","1,142,249.55",
Switzerland,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","121,931.96","123,278.80","123,239.63","123,136.38","123,249.55","123,951.22","124,707.94","127,774.47","128,543.07","129,108.04","130,318.31","132,064.37","131,811.07","132,419.75","132,358.04","131,957.41","131,963.79","132,301.91","132,249.67","131,690.90","131,087.01","130,803.89","132,161.48","133,735.08","134,479.15","135,555.48","135,457.44","135,790.59","136,907.49","138,399.91","139,876.91","141,379.91","143,111.96","144,265.26","145,225.24","147,067.79","147,930.80","150,205.01","151,487.51","152,831.63","154,128.22","155,953.99","156,715.91","151,917.84","149,209.38","150,068.89","152,164.86","153,017.15","154,532.05","155,475.25","156,305.53","157,580.47","158,431.35","159,398.57","158,871.03","158,945.00","159,867.41","160,218.23","161,623.70","161,612.85","162,209.20","163,374.25","164,611.42","164,946.83","165,789.79","167,142.37","168,128.04","169,248.00","168,919.55","169,685.68","170,752.71","171,608.03","172,244.32","173,367.22","174,584.63","174,885.46","175,124.87","175,362.11","176,329.79","178,186.73","180,198.47","181,901.91","181,306.63","181,807.73","182,052.01","182,838.48","183,822.05","184,922.74","182,138.85","169,287.65","181,595.67","182,222.81","181,969.21","185,585.64","188,762.01","189,120.63","189,755.77","190,307.82","190,615.94","190,666.24",
Thailand,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",,,,,,,,,,,,,,,,,,,,,"1,487,800.00","1,502,800.00","1,524,200.00","1,535,600.00","1,605,528.37","1,630,311.25","1,648,704.94","1,687,375.67","1,667,251.16","1,703,634.67","1,727,030.49","1,750,092.82","1,759,028.74","1,782,038.73","1,803,808.01","1,843,867.80","1,872,883.26","1,876,656.24","1,902,482.35","1,930,168.13","1,929,934.46","1,943,261.04","1,947,129.80","1,896,808.91","1,840,469.60","1,882,567.06","1,942,163.45","1,998,349.02","2,056,195.28","2,050,006.30","2,061,028.82","2,069,571.54","2,116,333.18","2,086,223.87","2,118,242.30","1,985,261.74","2,171,510.58","2,212,815.94","2,230,645.29","2,288,895.46","2,287,224.11","2,273,922.06","2,289,935.69","2,288,662.89","2,280,147.26","2,294,359.77","2,315,597.73","2,340,552.54","2,351,805.94","2,361,919.71","2,396,419.72","2,411,152.23","2,430,050.49","2,453,281.82","2,474,443.38","2,490,772.81","2,522,707.74","2,561,056.34","2,590,117.44","2,586,617.30","2,649,258.11","2,682,899.56","2,680,744.93","2,678,913.07","2,718,507.89","2,747,024.69","2,753,077.00","2,701,076.74","2,660,793.55","2,416,703.64","2,585,067.39","2,583,197.23","2,592,737.06","2,605,860.29","2,581,179.03","2,626,954.13","2,648,626.95","2,672,143.85","2,700,900.11","2,660,182.15",
"Türkiye, Rep of","National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","192,563.40","191,029.55","188,341.62","187,854.40","184,687.51","183,646.40","180,548.99","185,942.75","188,871.07","196,224.52","199,146.92","202,007.93","191,654.76","182,370.93","184,653.83","181,546.29","188,404.36","196,536.67","199,222.28","203,472.96","203,643.06","204,327.97","210,153.79","216,506.77","222,469.98","227,649.75","230,217.03","233,952.26","244,737.35","245,770.53","249,240.74","257,482.64","260,431.16","268,364.21","266,342.13","272,358.03","277,323.34","277,408.02","279,034.72","288,612.87","294,692.48","284,235.02","279,070.84","271,982.35","256,577.22","266,858.26","273,251.55","278,586.40","277,764.58","288,321.61","296,310.14","305,268.15","312,148.47","320,725.34","329,252.92","333,721.91","330,752.54","336,466.38","342,404.32","347,892.69","358,085.55","368,598.14","374,001.70","374,726.63","385,597.73","379,341.77","388,666.69","393,904.20","401,351.94","407,467.62","413,178.34","417,999.58","419,510.81","425,513.53","413,311.19","436,083.03","442,052.42","452,132.63","458,986.59","467,628.21","474,496.47","477,616.38","469,841.10","454,880.82","463,422.52","475,322.28","473,644.83","479,707.05","483,781.33","433,604.73","501,460.91","506,899.99","520,163.84","530,540.88","544,942.32","553,528.64","556,791.22","567,227.23","566,519.91",,
Ukraine,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"637,921.00","650,103.00","657,348.00","667,679.00","678,523.00","682,111.00","696,391.00","698,843.00","692,896.00","695,428.00","686,828.00","687,294.00","687,711.00","684,325.00","676,186.00","713,485.00","686,462.00","658,830.00","629,582.00","605,870.00","588,382.00","577,835.00","581,418.00","580,893.00","589,562.00","593,357.00","597,910.00","604,538.00","603,557.00","607,868.00","613,768.00","616,468.00","624,264.00","627,852.00","632,823.00","641,896.00","648,411.00","655,846.00","655,404.00","648,020.00","647,239.00","591,842.00","635,372.00","635,367.00","641,106.00","649,922.00","657,434.00","647,837.00",,,,,
United Kingdom,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","376,761.00","378,766.00","379,906.00","382,282.00","385,025.00","386,581.00","393,078.00","398,776.00","403,407.00","406,049.00","408,120.00","409,871.00","413,381.00","414,894.00","416,803.00","417,480.00","418,930.00","421,133.00","424,190.00","427,745.00","430,454.00","434,140.00","438,419.00","441,827.00","443,792.00","446,140.00","447,205.00","448,619.00","451,985.00","456,263.00","460,177.00","464,981.00","466,584.00","467,684.00","468,351.00","470,396.00","475,292.00","478,424.00","482,064.00","485,249.00","487,601.00","485,278.00","477,935.00","467,250.00","458,181.00","456,867.00","457,471.00","459,031.00","463,391.00","468,691.00","471,664.00","472,312.00","473,510.00","473,773.00","474,501.00","474,303.00","478,242.00","477,974.00","483,913.00","483,422.00","484,555.00","487,845.00","491,499.00","494,658.00","499,294.00","503,659.00","507,485.00","510,787.00","512,895.00","516,141.00","518,365.00","522,194.00","524,102.00","527,401.00","529,730.00","533,173.00","537,114.00","539,994.00","542,780.00","546,185.00","547,003.00","549,491.00","552,545.00","553,966.00","557,458.00","558,071.00","561,480.00","561,339.00","546,515.00","431,794.00","503,509.00","509,621.00","504,255.00","537,175.00","546,487.00","554,821.00","557,524.00","557,810.00","557,286.00","558,005.00",
United States,"National Accounts, Expenditure, Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","2,959,969.00","2,987,373.00","3,024,797.80","3,073,684.30","3,102,694.50","3,128,602.00","3,169,994.30","3,222,070.30","3,233,813.00","3,292,687.30","3,295,972.50","3,315,562.50","3,304,812.80","3,325,348.50","3,312,035.50","3,321,220.30","3,348,727.50","3,369,339.00","3,382,935.30","3,387,355.30","3,404,858.50","3,435,276.80","3,492,539.30","3,532,844.80","3,553,085.00","3,580,754.30","3,614,458.00","3,651,398.80","3,691,961.50","3,709,926.80","3,739,072.80","3,760,308.00","3,811,022.00","3,820,381.30","3,826,129.30","3,858,410.80","3,869,739.00","3,894,444.80","3,917,901.30","3,941,786.50","3,925,726.50","3,948,193.30","3,927,390.50","3,841,651.80","3,796,868.80","3,790,443.00","3,804,161.80","3,844,788.80","3,864,014.80","3,901,407.00","3,931,570.50","3,951,998.80","3,942,477.80","3,969,209.80","3,967,671.00","4,012,175.50","4,044,992.00","4,063,431.50","4,070,537.80","4,075,008.80","4,110,371.30","4,116,100.50","4,148,685.80","4,178,190.00","4,163,561.80","4,217,027.30","4,266,154.00","4,285,308.80","4,320,161.80","4,345,218.80","4,359,270.00","4,365,644.80","4,391,366.30","4,404,645.30","4,431,122.30","4,453,140.00","4,472,273.50","4,494,804.50","4,531,998.50","4,577,575.00","4,609,281.80","4,641,424.30","4,674,937.00","4,683,435.30","4,708,852.80","4,740,543.80","4,782,733.00","4,803,922.80","4,747,469.30","4,344,678.00","4,685,930.00","4,731,065.50","4,804,056.00","4,886,062.00","4,918,148.50","5,001,545.30","4,981,022.00","4,973,817.80","5,013,665.80","5,045,622.80","5,058,969.50"
